team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
Boston Red Sox,team roster,AL,East,"235,649,368",108,54,.667,1,1,1,"174,287,098",David Price (4)
San Francisco Giants,team roster,NL,West,"208,509,901",73,89,.451,4,12,21,"176,531,278",Buster Posey (27)
Los Angeles Dodgers,team roster,NL,West,"186,138,211",92,71,.564,1,3,7,"187,989,811",Clayton Kershaw (2)
Chicago Cubs,team roster,NL,Central,"183,463,459",95,68,.583,2,2,6,"170,088,502",Yu Darvish (11)
Washington Nationals,team roster,NL,East,"181,586,759",82,80,.506,2,8,16,"162,742,157",Bryce Harper (24)
Los Angeles Angels,team roster,AL,West,"174,592,209",80,82,.494,4,8,17,"143,965,833",Mike Trout (1)
New York Yankees,team roster,AL,East,"168,541,038",100,62,.617,2,3,3,"170,389,199",Giancarlo Stanton (11)
Toronto Blue Jays,team roster,AL,East,"162,664,502",73,89,.451,4,10,22,"162,353,367",Russell Martin (34)
Seattle Mariners,team roster,AL,West,"162,480,174",89,73,.549,3,7,12,"155,207,720",Felix Hernandez (10)
St. Louis Cardinals,team roster,NL,Central,"161,005,146",88,74,.543,3,6,13,"146,630,000",Yadier Molina (34)
Houston Astros,team roster,AL,West,"159,529,730",103,59,.636,1,2,2,"127,443,900",Justin Verlander (8)
New York Mets,team roster,NL,East,"155,765,125",77,85,.475,4,11,20,"176,284,679",Yoenis Cespedes (7)
Texas Rangers,team roster,AL,West,"144,498,078",67,95,.414,5,11,23,"178,431,396",Shin-Soo Choo (34)
Baltimore Orioles,team roster,AL,East,"143,600,045",47,115,.290,5,15,30,"161,684,185",Chris Davis (49)
Colorado Rockies,team roster,NL,West,"141,339,833",91,72,.558,2,4,9,"101,513,571",Ian Desmond (21)
Cleveland Indians,team roster,AL,Central,"137,346,173",91,71,.562,1,5,8,"115,991,166",Josh Donaldson (17)
Arizona Diamondbacks,team roster,NL,West,"132,495,446",82,80,.506,3,9,15,"90,730,499",Zack Greinke (3)
Minnesota Twins,team roster,AL,Central,"131,374,996",78,84,.481,2,9,19,"100,787,500",Joe Mauer (17)
Kansas City Royals,team roster,AL,Central,"129,967,987",58,104,.358,5,14,29,"132,091,916",Alex Gordon (34)
Detroit Tigers,team roster,AL,Central,"129,917,192",64,98,.395,3,12,26,"180,250,600",Miguel Cabrera (4)
Atlanta Braves,team roster,NL,East,"120,542,785",90,72,.556,1,5,11,"137,339,527",Freddie Freeman (29)
Cincinnati Reds,team roster,NL,Central,"101,185,579",67,95,.414,5,13,24,"82,375,785",Joey Votto (11)
Miami Marlins,team roster,NL,East,"98,826,644",63,98,.391,5,15,27,"115,348,302",Martin Prado (77)
Philadelphia Phillies,team roster,NL,East,"96,848,371",80,82,.494,3,10,18,"87,418,378",Jake Arrieta (4)
San Diego Padres,team roster,NL,West,"96,131,798",66,96,.407,5,14,25,"34,574,400",Eric Hosmer (34)
Milwaukee Brewers,team roster,NL,Central,"90,237,112",96,67,.589,1,1,5,"61,020,089",Ryan Braun (41)
Pittsburgh Pirates,team roster,NL,Central,"87,860,654",82,79,.509,4,7,14,"94,637,833",Francisco Cervelli (113)
Tampa Bay Rays,team roster,AL,East,"78,231,049",90,72,.556,3,6,10,"69,982,520",Kevin Kiermaier (226)
Chicago White Sox,team roster,AL,Central,"72,177,640",62,100,.383,4,13,28,"109,591,167",James Shields (29)
Oakland Athletics,team roster,AL,West,"68,534,631",97,65,.599,2,4,4,"70,601,667",Khris Davis (113)
30 record(s),,,,,,,,,,,,
